STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Fréquence d'observation,MEASURE,Mesure,CATEGORY,Catégorie de recettes provenant des taxes liées à l'environnement,DOMAIN,Domaine de recettes provenant des taxes liées à l'environnement,UNIT_MEASURE,Unit of measure,ACTIVITY,Activité économique,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,PRICE_BASE,Type de prix,OBS_STATUS,Statut d'observation,OBS_STATUS_2,Statut d'observation 2,DECIMALS,Décimales,UNIT_MULT,Multiplicateur d'unité,REF_YEAR_PRICE,Reference year price,CURRENCY,Currency
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ROU,Roumanie,TAXREV,Tax revenue,CAT_RES,Assiette relatives aux taxes sur les resources,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2021,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ROU,Roumanie,TAXREV,Tax revenue,CAT_RES,Assiette relatives aux taxes sur les resources,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2022,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ROU,Roumanie,TAXREV,Tax revenue,CAT_RES,Assiette relatives aux taxes sur les resources,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2023,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1994,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LTU,Lituanie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1994,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1995,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1996,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1997,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1998,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1999,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2006,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
